basis,seed,group,row,stratum,energy,sse
identity,0,16,13307,0,0.39823617359582941,0.0019829644239836158
identity,0,32,13367,0,0.5328881999572701,0.0037749759482181844
identity,0,16,13367,0,0.5328881999572701,0.0024652803091527176
identity,0,32,13428,0,0.28570215977589442,0.0017316772339768249
identity,0,16,13428,0,0.28570215977589442,0.0013321831705184195
identity,0,32,13489,0,0.48096624942490962,0.0034146270068049489
identity,0,16,13489,0,0.48096624942490962,0.0025161959806609957
identity,0,32,13549,0,0.59093338680391683,0.0043383487499879525
identity,0,16,13549,0,0.59093338680391683,0.0031200410448575244
identity,0,32,13610,0,0.59189839901453301,0.0040250558545062987
identity,0,16,13610,0,0.59189839901453301,0.0029064905815880948
identity,0,32,13670,0,0.33149609025196014,0.0021714354136861402
